https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume UST,Volume USD
1651741200000,2022-05-05 09:00:00,UST/USD,0.999,1.001,0.999,0.999,50.989848,50.938858152
1651737600000,2022-05-05 08:00:00,UST/USD,1.001,1.001,0.999,0.999,48832.442185,48783.609742815
1651734000000,2022-05-05 07:00:00,UST/USD,1.0,1.001,1.0,1.001,13711.308083,13725.019391082998
1651730400000,2022-05-05 06:00:00,UST/USD,0.999,1.001,0.999,1.0,8218.146459,8218.146459
1651726800000,2022-05-05 05:00:00,UST/USD,1.001,1.001,0.999,0.999,13.555993,13.542437007
1651723200000,2022-05-05 04:00:00,UST/USD,1.001,1.001,1.0,1.001,48284.187146,48332.47133314599
1651719600000,2022-05-05 03:00:00,UST/USD,1.0,1.001,1.0,1.001,7281.648447,7288.930095446999
1651716000000,2022-05-05 02:00:00,UST/USD,1.001,1.001,1.0,1.0,14206.636203,14206.636203
1651712400000,2022-05-05 01:00:00,UST/USD,1.0,1.001,0.999,1.001,8190.885185,8199.076070185
1651708800000,2022-05-05 00:00:00,UST/USD,1.0,1.001,1.0,1.0,48715.985802,48715.985802
1651705200000,2022-05-04 23:00:00,UST/USD,1.0,1.0,1.0,1.0,221.939309,221.939309
1651701600000,2022-05-04 22:00:00,UST/USD,1.0,1.0,0.999,1.0,1332.4027,1332.4027
1651698000000,2022-05-04 21:00:00,UST/USD,0.999,1.001,0.999,1.0,29234.37387,29234.37387
1651694400000,2022-05-04 20:00:00,UST/USD,0.999,1.001,0.999,0.999,164474.105546,164309.63144045402
1651690800000,2022-05-04 19:00:00,UST/USD,1.0,1.0,0.999,0.999,91408.873958,91317.46508404199
1651687200000,2022-05-04 18:00:00,UST/USD,0.999,1.0,0.999,1.0,131594.567149,131594.567149
1651683600000,2022-05-04 17:00:00,UST/USD,1.0,1.0,0.999,0.999,52956.905433,52903.948527567
1651680000000,2022-05-04 16:00:00,UST/USD,1.001,1.001,0.999,1.0,21733.358453,21733.358453
1651676400000,2022-05-04 15:00:00,UST/USD,0.999,1.001,0.999,1.001,10908.556379,10919.464935379
1651672800000,2022-05-04 14:00:00,UST/USD,0.999,1.0,0.999,0.999,2162.594956,2160.432361044
1651669200000,2022-05-04 13:00:00,UST/USD,0.999,1.001,0.999,0.999,23916.987388,23893.070400612003
