https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume LUNA,Volume USD
1651752000000,2022-05-05 12:00:00,LUNA/USD,85.14,85.81,85.06,85.61,906.591063,77613.26090343
1651748400000,2022-05-05 11:00:00,LUNA/USD,85.54,86.1,85.1,85.14,485.005149,41293.33838586
1651744800000,2022-05-05 10:00:00,LUNA/USD,85.26,86.01,85.15,85.54,2527.69756,216219.2492824
1651741200000,2022-05-05 09:00:00,LUNA/USD,85.28,85.61,84.79,85.26,921.383604,78557.16607704
1651737600000,2022-05-05 08:00:00,LUNA/USD,86.2,86.34,85.02,85.28,1791.013219,152737.60731632
1651734000000,2022-05-05 07:00:00,LUNA/USD,85.79,86.21,85.38,86.2,277.468216,23917.760219199998
1651730400000,2022-05-05 06:00:00,LUNA/USD,86.08,86.78,85.79,85.79,753.316216,64626.99817064001
1651726800000,2022-05-05 05:00:00,LUNA/USD,86.89,87.46,85.96,86.08,1946.081165,167518.6666832
1651723200000,2022-05-05 04:00:00,LUNA/USD,86.78,87.24,86.48,86.89,248.220726,21567.89888214
1651719600000,2022-05-05 03:00:00,LUNA/USD,87.27,87.44,86.78,86.78,264.356918,22940.89334404
1651716000000,2022-05-05 02:00:00,LUNA/USD,87.2,87.81,86.78,87.27,5049.872952,440702.41252103995
1651712400000,2022-05-05 01:00:00,LUNA/USD,86.06,87.2,86.06,87.2,951.719677,82989.95583440001
1651708800000,2022-05-05 00:00:00,LUNA/USD,86.1,86.49,85.78,86.06,6029.288659,518880.58199354
1651705200000,2022-05-04 23:00:00,LUNA/USD,86.01,86.59,85.74,86.1,2257.898831,194405.0893491
1651701600000,2022-05-04 22:00:00,LUNA/USD,86.17,86.47,85.68,86.01,1633.356522,140484.99445722002
1651698000000,2022-05-04 21:00:00,LUNA/USD,86.95,86.95,86.13,86.17,2911.228281,250860.54097377002
1651694400000,2022-05-04 20:00:00,LUNA/USD,87.55,87.69,86.53,86.95,5176.027693,450055.60790635
1651690800000,2022-05-04 19:00:00,LUNA/USD,86.55,88.22,86.3,87.55,26883.510381,2353651.33385655
1651687200000,2022-05-04 18:00:00,LUNA/USD,84.01,87.42,82.81,86.55,22148.204661,1916927.11340955
1651683600000,2022-05-04 17:00:00,LUNA/USD,84.5,84.57,83.51,84.01,1076.237805,90414.73799805
1651680000000,2022-05-04 16:00:00,LUNA/USD,83.73,84.86,83.58,84.5,2224.196247,187944.5828715
1651676400000,2022-05-04 15:00:00,LUNA/USD,83.95,84.31,83.28,83.73,558.642504,46775.13685992001
1651672800000,2022-05-04 14:00:00,LUNA/USD,84.24,84.81,83.9,83.95,944.132518,79259.92488610001
1651669200000,2022-05-04 13:00:00,LUNA/USD,85.31,85.79,84.24,84.24,2394.251519,201691.74796056
1651665600000,2022-05-04 12:00:00,LUNA/USD,86.99,87.35,85.31,85.31,831.164356,70906.63121036
1651662000000,2022-05-04 11:00:00,LUNA/USD,86.9,87.2,86.48,86.99,1291.925399,112384.59045901
1651658400000,2022-05-04 10:00:00,LUNA/USD,86.15,87.33,86.11,86.9,1370.710379,119114.73193510002
1651654800000,2022-05-04 09:00:00,LUNA/USD,86.53,86.62,85.96,86.15,1155.212607,99521.56609305
